"","text"
"18","four million battles every day one shadowverse japans  strategic card gamemade by card gamers for card gamers one of my favorite games this year  ignshadowverse is japans  strategic card game there are millions of shadowverse battles every day and a multitude of ways to play easy to get into thanks to a singleplayer story mode free card packs for new players and bonuses every day  battles are finely balanced with less rng than other card games and balance adjustments take place every month new card expansions are released every three months unleashing new deckbuilding strategies and battle tactics weve got a great community of  million players and counting with tournaments and esports broadcasts every week and support for streamers  featuring beautiful art and animations and fully voiced cards and story a multitude of ways to play with eight different leader classes shadowverse gives you unparalleled freedom to create your own deck strategies will you play as urias and unleash your vengeance when your health is depleted or will you select isabelle whose spells power up the cards in your hand will you go all in with an aggro deck or try to contain the board with a control deck or will you try to sneak in some sublimely ingenious combos its entirely up to you  easy to get into learn the basics by playing through our extensive singleplayer story mode before taking on other players in our multiplayer modes be sure to pick up your free card packs after youve finished playing through the tutorial  just go to your crate from the main menu to pick them up and bonuses and daily missions help you unlock new card packs every day so it wont be long before you have a deck that is capable of competing with the very best  finely balanced theres less rng in shadowverse than other card games making it supremely balanced youll need to trust your judgement not your luck if you are to come out on top and we make balance adjustments every month to make sure that no one card or deck type becomes too dominant new card expansions released regularly new card expansions are added every three months to make sure the meta never gets stale and every single expansion unleashes new deckbuilding strategies and battle tactics and even new leader classes and game modes were in this for the long haul and we hope you will be too beautiful artall of the cards in shadowverse feature fantastic art by some of japans finest artists and every single card is available as an animated version every card is also fullyvoiced in english and japanese as is the singleplayer storyline  a great communityand last but not least we have some amazing fans weve got memes weve got streams and we have much much more to offer than the average card game community tournaments and esports broadcasts take place every week and there are a ton of deckbuilding resources online in case you get stuck millions of card gamers cant be wrong  why dont you join them"
"19","feel the excitement of flying the sut frogfoot attack jet and the tfd mustang in the freetoplay digital combat simulator worldthe open beta version of digital combat simulator world dcs world  is a freetoplay digital battlefield game and simulation environment the release version will be available shortly after open beta testing is complete the open beta is an optional version of dcs world that we use to first test new content and technologies before moving them to our release versionour dream is to offer the most authentic and realistic simulation of military aircraft tanks ground vehicles and ships possible this free download includes a vast mission area of the caucasus region and black sea that encompasses much of georgia it also includes a flyable russian sukhoi sut ground attack aircraft and the famous wwii north american tfd fighter an additional  aircraft are available for purchasethe download comes with one of the most powerful mission editor ever designed full network play and more than  ai weapons systems  ground vehicles and trains  air defense systems  ships and  ai aircraft permitting you to plan and play highly sophisticated missions dcs world is massively extensible through additional dcs modules as well as usermade addons and mods which you can purchase and download from our sitedcs is a true sandbox simulation that is also designed to cover multiple time periods of interest such as wwii korean war vietnam gulf war and others current regions to battle include the caucasus nevada test and training range and normandy  new maps in development include the persian syria afghanistan and othersdcs world is fundamentally a deep authentic and realistic simulation designed also to offer a more relaxed gameplay to suit the user and his particular level of experience and training the ambition is to hand hold users from novice pilot all the way to the most advanced and sophisticated operator of such complex weapons systems as the ac warthog or the fac hornet the only next step is the real thingkey features of dcs world the most realistic freetoplay digital battlefield everoneofakind internally developed graphics engine that looks amazing from  to  feet includes a beautiful free and highly detailed map of the caucasus region that includes south western russia and georgiaincludes millions of buildings millions of km of usable roads and railways more than  million trees and  fullyequipped operational airbasesincludes  free and fully operational weapons systems  ground vehicles  ships and  aicontrolled aircraftfly the tf mustang and sut attack jet for freeplay all dcs world modules from one dcs world versionstateoftheart graphics with amazing lighting shadows and performancenew breathtaking effects for explosions clouds fog fire and smoke hundreds of land air and seaborne ai vehicles the world is your sandboxcreate your own missions and campaigns for unlimited gameplaymission generator included allowing rapid mission creationenjoy multiplayer with friends and even fly together in the same aircraft for multicrew missionspurchase and fly the most iconic airplanes and helicopters from wwii up to the modern daymouse interactive  degrees of freedom cockpits for most aircraft and the most accurate flight models cockpit systems sensors targeting systems and sounds availablepurchase and fly the most authentic simulations of the ac warthog uhh huey ff sabre spitfire and many others nowexciting new aircraft coming to dcs world like the f tomcat fac hornet fe phantom ii mip hind pd thunderbolt and many morepurchase additional highquality maps such as normandy  the nevada test and training range and the persian gulf play hundreds of missions and campaigns with new campaigns continually createdboth hardcore realistic and casual gameplay modes and options available"
"20","heroes  generals is a full on allout war experience thousands of players fighting one massive clash of nations the first to capture  cities takes the gloryfight alongside newfound brothers from all over the world in multiple battles raging persistently as generals strategize and deploy resources to assist their menas a soldier everything you do influences the war every kill you make every tank you destroy every town you capture matters even glorious defeat because sometimes to win the war many must diechoose how you fighthow you fight and the speed of progression is up to youexperience the rush of close quarter combat the pleasure of picking off the enemy at range the power of unleashing hell from a tank or wreaking havoc from an aircraft the choice is yoursmaster your own arsenalyou own and master your equipmentunleash the terror of the badass panther tank the power of the yakb fighters mm cannons or the stealth of an m greyhound load out with the deadly pps the legendary tommy gun or the rare but lethal fg weapons  vehicles and aircraft are available to add to your arsenal if thats not enough you can always use your wrench to humiliate the enemykey featureschoose your fight as infantry recon tank crew paratrooper or even a fighter pilotfight in closequarters infantry encounters  in larger skirmishes with vehicles or in huge land and aerial assaults win or lose everything you do contributes to the warunlock a vast variety of weapons vehicles planes  ammo upgradesearn over  different combat badges to boost your ability and get the upper handchoose your allegiance  fight the war for the united states germany or the soviet unionprogress to become a general and gain ultimate power to strategize and deploy resources in battle"
"21","play on your ownstory mode provides hours of solo gameplay in which youll earn new legends cards decks and packs or draft a deck from scratch and battle a series of computer opponents play against otherstest your decks against friends challenge online opponents in ranked play or draft a deck from scratch and battle other players who have done the same pick your battleslegends gameplay features a divided battlefield with lanes that deepen your strategy options"
"22","tree of savior tos is an mmorpg in which you embark on a journey to search for the goddesses in a world in chaos fairytale like colors accompanied with beautiful graphics will have you savoring every precious moment experienced throughout your gameplay major characteristics  distinct art style massive freedom of choice  develop your own playstyleteam battle league pvp content  joust your skills with others in the arenaguild wars gvg content  no place is safe from enemy guild members in the open field or even in instance dungeonsstyle  cute and charming looking characters and background diverse costumes and expressionsscale  numerous character classes  ranks  enough class and rank combinations to keep you tinkering for your exact buildhiddenadvanced classes achieved only through special requirementsdiverse themes comprising a multitude of worlds and levelsabundant field and dungeon contents and hidden questsmore than  unique boss monstersfreedom of choice  different jobs skills and stats giving possibility to a variety of combinations no fixed route choose which path you wish to takecommunity  the community can be accessed anytime no matter where you may beautomatic party finding  form parties with nearby players that will automatically disband when far apartraids  give lowlevel characters opportunities to join raids even at early stages of game play servers use active matchmaking to call for automatic party findingstatistics  information is accumulated and posted to show rankings for almost everything ingamethe statistics provided allow players to see how other players are doing"
"23","grab your friends hone your blades and set off for adventure in trove the ultimate action mmo battle the forces of shadow in realms filled with incredible dungeons and items created by your fellow players whether hunting treasure in faroff lands or building realms of your own its never been this good to be squarecubular classesplay as a knight gunslinger ice sage dracolyte piratewithaparrot or any or all of the other classes in trove while mastering abilities from deadly ninja techniques to deliciously deadly ice cream crushes upgrade your gear to tackle epic challenges and strut your stuff with killer looksinfinite realmsexplore through fully destructible realms on the backs of firebreathing dragons and purrfectly whiskered meownts jump into action tailored to any level as you conquer untamed wilds from the treasure isles to candoria home of the sweettoothed candy barbariansdelve into dungeonsassemble a group of hardy cubekind and crawl your way through huge dungeons unique to each realm brave deadly minions bosses and traps to liberate powerful armor and weapons or dip into smaller lairs for single servings of danger perfect for solo funget rich with lootrake in a shimmering hoard of treasure and collectible items from the deepest and darkest places in trove load up on special gear costumes decorations recipes crafting ingredients flying carpets seafaring ships and dragons of mighty renown build your home cornerstones are personal homes you can build block by block but theyre also mobile bases drop your cornerstone at speciallymarked plots in any world youre visiting and voilà your handcrafted homeawayfromhome will appear giving you a place to kick back relax and craft to your hearts contentbuild a worldwhats better than crafting alone building entire new club worlds with friends feel like making enormous geodesic domes in the desert magnificent castles in the sky do it  and land yourself in our list of the cubic masterpieces in trovebuild anything in the gamedragons check bacon swords yup rainbowgrade d glasses of insufferable doom just the tip of the iceberg collect a huge range gear made by your fellow players and make and submit your own items  including dungeons lairs class costumes and moreplusmusic blocks meownts fishing farming pets sailing with boats flying with wings mag trains dancepads heroes villains allies who might be villains flasks bombs piñata parties and the crafting of any and all things did we mention its free to play"
"24",NA
"25","explore a fantasy world in realm royale the new battle royale sensation choose your class loot fantastic weapons and magical abilities and work with your squad to win stay ahead of the deadly fog by mounting up and moving out will you be the last champion standingcall your friends its time to squad up help your team by dropping a healing totem or fire a flare into the sky to reveal incoming enemies by working together as a team the crown royale could be yoursdiscover powerful abilities scattered across the realm soar through the skies slinging spells while your team deploys deadly turrets and shields flank the enemy with the stealthy ghost walk leaving behind a proximity mine for them to discover when its too late customize your champion each game with the abilities best suited for the battle at handgo traditional with shotguns and snipers or embrace the fantasy with ice staffs swords and crossbows if you want to win youll need to use the forges scattered across the realm to craft powerful runes epic gear or bring back your fallen teammates but be careful while youre crafting your enemies may attackjourney through the lush jungle of jaguars claws and the scorched sands of goblin gulch visit frigid everfrost and iridescent fungal forest the best part you dont have to walk around this massive realm just summon your mount to outrun the fog and ride into your next glorious battle"
"26","planetside  is a freetoplay massively multiplayer online first person shooter mmofps  empires and their soldiers battle in an allout planetary war on a scale never before seen in stunning breathtaking detail planetside  battles persist and the war never ends offering constant challenges of individual skill team grit and empirewide coordination take up arms and drop into intense infantry vehicle and air combat players come together in enormous battles across four massive continents to win control of critical territories gaining key resources for their empire with an extensive skill tree and classbased system players can customize their soldier weapons and vehicles to match their playstyle and meet the needs of their squads outfits and empires in the world of planetside  every soldier makes a difference  three warring empires players will choose to align with one of three empires the militaristic authoritarian terran republic  the rebellious freedomfighting new conglomerate  or the technocratic alieninfluenced vanu sovereignty each empire has access to empirespecific weapons attachments vehicles abilities and more massive warfare battles take place not between dozens of soldiers but between hundreds they fight on foot they pile into vehicles they take to the skies in devastating aircraft each battleground holds valuable resources and strategic positions and the empire that can conquer and hold these territories will be rewarded with the resources and the means to achieve victory   enormous maps planetside  features four incredible and diverse continent maps with dozens of square kilometers of seamless gameplay space every inch of which is handcrafted and contestable whether in open fields barren desert in armed and armored bases or in the skies victory will rely on knowing your surroundings  persistence that pays in planetside  the war isnt won by a single base capture the core gameplay of planetside  is about holding crucial territories and controlling resources working strategically as a team to secure tactical positions has longlasting effects that can shift the tide of battle classbased combat players can build their soldier to match wants and their allies needs six distinct classes provide a wealth of squad options and combat tactics grow your soldier over time as you master each combat role weapon and vehicle laterally unlocking hundreds of weapons attachments gear skills vehicles and moreheavy assault rush into the battle guns blazing you are the dedicated foot soldier of auraxislight assault go where the heavies cant with your shortburst jetpack pick a high spot throw a grenade and out maneuver your foescombat medic keep your fellow soldiers alive and in fighting shape you are the beating heart of any squad infiltrator stay silent stay invisible you are death from the shadows whether with a knife from behind or a single shot from a snipers nest you are the enemys constant fear engineer  deploy crucial equipment resupply your allies fix the thing then fix it again you keep the machines running the tanks firing and the war effort moving forward max step into your mechanized assault exosuit max cannons for hands armor for flesh and a disposition to match you are a walking mass of nigh unstoppable death outfit teamwork join or form your own outfit a likeminded group of soldiers who train together day in and day out whether a small rapid response team or a massive clan outfits are vital to each empires strategic organization  vehicles  weapons train and equip your solider how you want with a huge array of weapons and vehicles which can be extensively customized by preference or purpose using attachments upgrades and addons earned in the war   play for free planetside  is free to play with optional ingame purchases"
"27","stake your claim command your fleets and wage epic war in space band together with other players in a bloody rebellion to take back the galaxy from the evil vega federationcustomize your war different targets call for different strategy outfit your fleet for victoryrealtime pvp real war doesnt wait its turn  attack enemies at will in realtimebattle anywhere conflict never ends continue your progress on phone tablet or in browser"
"28","engage in epic v or v battles in this fastpaced strategic minion brawler thats easy to pickup but hard to master in minion masters there are many different masters with unique hero abilities and you collect awesome minions like fierce demons cute creatures devastating spells and much more utilize your minions to destroy the enemy master when a minion has been summoned they can no longer be controlled so place them wisely to wingame modesv  fight against other players and see how far your skills can take you the rank of grandmaster awaits if become one of the bestv  join with your friend or queue up with strangers to take down other teams in this super intense v action twice the minions twice the action v draft  build your deck from a random selection of cards each run you gain better rewards if you defeat more opponents but be careful  losses and youre outmayhem  new crazy rules to try out every weekexpeditions  rewarding and challenging journeys    solo challenges   hone your skills by practicing against ai masterslegendary masterslearning how to use your masters abilities to their full potential and building your deck around them is crucial for victory each master has their own unique personality and playstyle with opportunities for all kinds of strategies only the most determined players learn to use a master to their greatest potentialunlock and craft mighty minions and spicy spellsover  unique cards minions spells buildings with more being added all the timelike the peaceloving mana puff that gives you extra mana when its happy  which is alwaysor the troubadour who refuses to do anything but play his bagpipe making all the other minions attack him regardless of what else is going on just to make it stop of course you could also get the undying skeleton who comes back to life after you kill itfree expansionswe are constantly adding new content to the game it is a priority for us that you will always have new stuff to experience and master a lot of our new content comes from our regular big expansion packs they contain new cards skins avatars emotes or even new masters and are released roughly every two months expeditionsnew expeditions appear in the game all the time travel around the world of minion masters to explore new worlds fight other players and defeat pve challenges that lead to epic looteventswe believe in creating a forever fun and always engaging experience in minion masters so we regularly spice things up with new events that last for a limited time they range from challenges friend events tournaments to new game modes bonus quests and many morecommunitywe have a thriving community in our steam forums and ingame where both developers and players answer questions discuss and help you learn the game come join us nowcosmeticscustomize your character with epic skins you can even change your side of the playing area to a look that suits you by swapping your arena with a new one want to fight on a lava world maybe in a sunken temple or a graveyard there are many options and the choice is yoursesportsseveral communitydriven tournaments have emerged around the game different tournaments happen every month some for cash prizes others for ingame currency or just bragging rights are you the best prove itparticipate in minion masters esportyou can read more about this and other amazing stuff on our blog   streamer featurewith the twitch feature you can link your twitch account by winning our special streamer events you can get rewards for you and your viewers we also feature twitch streamers in the game so people can see who is streamingfeature listv rankedv rankedv premade rankeddraftpve challenges masters more coming soon cardsminions more coming sooneventsactive communityesports scenecrafting systemingame chat and emotesrecurring stream eventmaster skins more coming sooncustom arena skins more coming soonreplaysexpeditionsrapid game updatescollect your own arenasseason rankingsgorgeous d visuals that we are always updating and working onpick one of a bajillion strategiesdid we mention the puffs theres even a king puffgameplay descriptioneach player has a pool of mana and a deck of  cards minionsspellsbuildings a card can costs between  mana and your mana regenerates over time during the matchthere are  bridges in the middle that you need to capture and hold they generate experience so your hero can level up his abilities before the enemyyou place minions on your side of the arena and the goal is to have them destroy the enemys tower minions have minds of their own and once you have summoned them they can no longer be controlled so place them wiselymost minions have unique abilities a few examples of this are aoe damage healing teleporting mana regen flying and many morespells can be used to change the flow of the game in your favour spells such as healing mind control or stuns can be devastating in the hands of a skilled playereach hero has unique abilities that change the game drastically as they become active awareness strategy and dedication is needed if you want to become great at the gamejoin in and have fun in our amazing world of minion masters  the betadwarf team"
